Date,Open,High,Low,Close,Volume
11/15/2022,"152.22","153.59","148.56","150.04","89,868,328"
11/14/2022,"148.97","150.28","147.43","148.28","73,374,109"
11/11/2022,"145.82","150.01","144.37","149.70","93,979,672"
11/10/2022,"141.24","146.87","139.50","146.87","118,854,000"
11/09/2022,"138.50","138.55","134.59","134.87","74,917,789"
11/08/2022,"140.41","141.43","137.49","139.50","89,908,477"
11/07/2022,"137.11","139.15","135.67","138.92","83,374,633"
11/04/2022,"142.09","142.67","134.38","138.38","140,814,797"
11/03/2022,"142.06","142.80","138.75","138.88","97,918,523"
11/02/2022,"148.95","152.17","145.00","145.03","93,604,625"
11/01/2022,"155.08","155.45","149.13","150.65","80,379,352"
10/31/2022,"153.16","154.24","151.92","153.34","97,943,172"
10/28/2022,"148.20","157.50","147.82","155.74","164,762,406"
10/27/2022,"148.07","149.05","144.13","144.80","109,180,203"
10/26/2022,"150.96","151.99","148.04","149.35","88,436,172"
10/25/2022,"150.09","152.49","149.36","152.34","74,732,289"
10/24/2022,"147.19","150.23","146.00","149.45","75,981,922"
10/21/2022,"142.87","147.85","142.65","147.27","86,548,609"
10/20/2022,"143.02","145.89","142.65","143.39","64,521,992"
10/19/2022,"141.69","144.95","141.50","143.86","61,758,340"
10/18/2022,"145.49","146.70","140.61","143.75","99,136,609"
10/17/2022,"141.07","142.90","140.27","142.41","85,250,945"
10/14/2022,"144.31","144.52","138.19","138.38","88,597,969"
10/13/2022,"134.99","143.59","134.37","142.99","113,224,000"
10/12/2022,"139.13","140.36","138.16","138.34","70,433,742"
10/11/2022,"139.90","141.35","138.22","138.98","77,033,672"
10/10/2022,"140.42","141.89","138.57","140.42","74,899,000"
10/07/2022,"142.54","143.10","139.45","140.09","85,925,562"
10/06/2022,"145.81","147.54","145.22","145.43","68,402,172"
10/05/2022,"144.08","147.38","143.01","146.40","79,470,969"
10/04/2022,"145.03","146.22","144.26","146.10","87,830,062"
10/03/2022,"138.21","143.07","137.69","142.45","114,311,695"
09/30/2022,"141.28","143.10","138.00","138.20","124,925,297"
09/29/2022,"146.10","146.72","140.68","142.48","128,138,203"
09/28/2022,"147.64","150.64","144.84","149.84","146,691,391"
09/27/2022,"152.74","154.72","149.95","151.76","84,442,734"
09/26/2022,"149.66","153.77","149.64","150.77","93,339,406"
09/23/2022,"151.19","151.47","148.56","150.43","96,029,914"
09/22/2022,"152.38","154.47","150.91","152.74","86,652,547"
09/21/2022,"157.34","158.74","153.60","153.72","101,696,797"
09/20/2022,"153.40","158.08","153.08","156.90","107,689,797"
09/19/2022,"149.31","154.56","149.10","154.48","81,474,250"
09/16/2022,"151.21","151.35","148.37","150.70","162,278,797"
09/15/2022,"154.65","155.24","151.38","152.37","90,481,109"
09/14/2022,"154.79","157.10","153.61","155.31","87,965,406"
09/13/2022,"159.90","160.54","153.37","153.84","122,656,602"
09/12/2022,"159.59","164.26","159.30","163.43","104,956,000"
09/09/2022,"155.47","157.82","154.75","157.37","68,081,008"
09/08/2022,"154.64","156.36","152.68","154.46","84,923,852"
09/07/2022,"154.83","156.67","153.61","155.96","87,449,570"
09/06/2022,"156.47","157.09","153.69","154.53","73,714,844"
09/02/2022,"159.75","160.36","154.97","155.81","76,957,766"
09/01/2022,"156.64","158.42","154.67","157.96","74,229,906"
08/31/2022,"160.31","160.58","157.14","157.22","87,991,086"
08/30/2022,"162.13","162.56","157.72","158.91","77,906,203"
08/29/2022,"161.15","162.90","159.82","161.38","73,313,953"
08/26/2022,"170.57","171.05","163.56","163.62","78,960,977"
08/25/2022,"168.78","170.14","168.35","170.03","51,218,207"
08/24/2022,"167.32","168.11","166.25","167.53","53,841,520"
08/23/2022,"167.08","168.71","166.65","167.23","54,147,078"
08/22/2022,"169.69","169.86","167.14","167.57","69,026,805"
08/19/2022,"173.03","173.74","171.31","171.52","70,346,305"
08/18/2022,"173.75","174.90","173.12","174.15","62,290,078"
08/17/2022,"172.77","176.15","172.57","174.55","79,542,039"
08/16/2022,"172.78","173.71","171.66","173.03","56,377,047"
08/15/2022,"171.52","173.39","171.35","173.19","54,091,688"
08/12/2022,"169.82","172.17","169.40","172.10","68,039,375"
08/11/2022,"170.06","170.99","168.19","168.49","57,149,160"
08/10/2022,"167.68","169.34","166.90","169.24","70,170,547"
08/09/2022,"164.02","165.82","163.25","164.92","63,135,500"
